# temp x0 loop_time_ms
300.000000 999.997070
301.000000 999.995606
302.000000 999.992676
303.000000 999.989747
304.000000 999.983901
305.000000 999.964858
306.000000 999.944351
307.000000 999.909198
308.000000 999.863821
309.000000 999.774392
310.000000 999.632060
311.000000 999.482666
312.000000 999.250192
313.000000 998.952447
314.000000 998.576154
315.000000 998.017626
316.000000 997.225595
317.000000 996.161679
318.000000 994.778217
319.000000 992.858391
320.000000 990.276264
321.000000 986.863649
322.000000 982.289548
323.000000 976.235303
324.000000 968.453754
325.000000 958.594629
326.000000 946.097765
327.000000 929.440743
328.000000 907.577011
329.000000 879.840973
330.000000 843.188231
331.000000 797.349972
332.000000 739.575494
333.000000 667.294236
334.000000 577.505556
335.000000 473.515238
336.000000 356.065619
337.000000 230.592117
338.000000 114.300049
339.000000 34.821803
340.000000 10.778100
341.000000 5.051281
342.000000 3.134071
343.000000 2.284120
344.000000 1.825317
345.000000 1.558593
346.000000 1.387114
347.000000 1.274948
348.000000 1.196106
349.000000 1.141773
350.000000 1.102911
351.000000 1.075919
352.000000 1.055920
353.000000 1.041113
354.000000 1.030010
355.000000 1.022110
356.000000 1.016264
357.000000 1.011852
358.000000 1.008668
359.000000 1.006298
360.000000 1.004575
361.000000 1.003302
362.000000 1.002324
363.000000 1.001636
364.000000 1.001086
365.000000 1.000743
366.000000 1.000476
367.000000 1.000326
368.000000 1.000222
369.000000 1.000160
370.000000 1.000103
371.000000 1.000063
372.000000 1.000041
373.000000 1.000025
374.000000 1.000016
375.000000 1.000006
